trainId,name,,,,,,
0,drivable_city,smooth_trail,,,,,
1,sidewalk,,,,,,
2,building,obstacle,,,,,
3,wall,,,,,,
4,fence,obstacle,,,,,
5,pole,obstacle,,,,,
6,traffic_light,,,,,,
7,traffic_sign,obstacle,,,,,
8,non_drivable_veg,traversable_grass,background,high_vegetation,obstacle,rough_trail,non_traversable_low_vegetation
9,drivable_veg,traversable_grass,background,smooth_trail,rough_trail,puddle,
10,sky,background,sky,,,,
11,person,obstacle,,,,,
12,rider,,,,,,
13,car,obstacle,,,,,
14,truck,,,,,,
15,bus,,,,,,
16,on_rails,,,,,,
17,motorcycle,,,,,,
18,bicycle,,,,,,
19,road_marking,,,,,,
255,void,background,obstacle,,,,
