trainId,name,,,,,,
0,asphalt,asphalt,concrete,,,,
1,rough_drivable,mud,,,,,
2,cobble,,,,,,
3,sidewalk,,,,,,
4,building,object,building,,,,
5,wall,,,,,,
6,fence,,,,,,
7,pole,pole,fence,,,,
8,traffic_light,,,,,,
9,traffic_sign,,,,,,
10,tree,tree,,,,,
11,non_drivable_veg,bush,log,,,,
12,crops,,,,,,
13,water,water,puddle,,,,
14,high_grass,bush,,,,,
15,low_grass,grass,,,,,
16,guard_rail,,,,,,
17,sky,sky,,,,,
18,person,person,,,,,
19,rider,,,,,,
20,car,,,,,,
21,truck,vehicle,,,,,
22,bus,,,,,,
23,trailer,,,,,,
24,caravan,,,,,,
25,on_rails,,,,,,
26,motorcycle,,,,,,
27,bicycle,,,,,,
28,road_marking,,,,,,
29,bridge,,,,,,
30,tunnel,,,,,,
31,rock,,,,,,
32,snow,,,,,,
33,animal,,,,,,
255,void,void,dirt,vehicle,barrier,rubble,log
